"ID","HowToGet"
"datasets-nottem","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/nottem.csv""]"
"datasets-npk","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/npk.csv""]"
"datasets-occupationalStatus","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/occupationalStatus.csv""]"
"datasets-Orange","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/Orange.csv""]"
"datasets-OrchardSprays","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/OrchardSprays.csv""]"
"datasets-PlantGrowth","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/PlantGrowth.csv""]"
"datasets-precip","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/precip.csv""]"
"datasets-presidents","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/presidents.csv""]"
"datasets-pressure","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/pressure.csv""]"
"datasets-Puromycin","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/Puromycin.csv""]"
"datasets-quakes","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/quakes.csv""]"
"datasets-randu","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/randu.csv""]"
"datasets-rivers","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/rivers.csv""]"
"datasets-rock","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/rock.csv""]"
"datasets-Seatbelts","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/Seatbelts.csv""]"
"datasets-sleep","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/sleep.csv""]"
"datasets-stackloss","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/stackloss.csv""]"
"datasets-sunspot.month","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/sunspot.month.csv""]"
"datasets-sunspot.year","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/sunspot.year.csv""]"
"datasets-sunspots","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/sunspots.csv""]"
"datasets-swiss","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/swiss.csv""]"
"datasets-Theoph","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/Theoph.csv""]"
"datasets-Titanic","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/Titanic.csv""]"
"datasets-ToothGrowth","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/ToothGrowth.csv""]"
"datasets-treering","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/treering.csv""]"
"datasets-trees","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/trees.csv""]"
"datasets-UCBAdmissions","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/UCBAdmissions.csv""]"
"datasets-UKDriverDeaths","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/UKDriverDeaths.csv""]"
"datasets-UKgas","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/UKgas.csv""]"
"datasets-USAccDeaths","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/USAccDeaths.csv""]"
"datasets-USArrests","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/USArrests.csv""]"
"datasets-USJudgeRatings","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/USJudgeRatings.csv""]"
"datasets-USPersonalExpenditure","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/USPersonalExpenditure.csv""]"
"datasets-uspop","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/uspop.csv""]"
"datasets-VADeaths","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/VADeaths.csv""]"
"datasets-volcano","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/volcano.csv""]"
"datasets-warpbreaks","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/warpbreaks.csv""]"
"datasets-women","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/women.csv""]"
"datasets-WorldPhones","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/WorldPhones.csv""]"
"datasets-WWWusage","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/datasets/WWWusage.csv""]"
"dplyr-band_instruments","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/dplyr/band_instruments.csv""]"
"dplyr-band_instruments2","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/dplyr/band_instruments2.csv""]"
"dplyr-band_members","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/dplyr/band_members.csv""]"
"dplyr-starwars","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/dplyr/starwars.csv""]"
"dplyr-storms","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/dplyr/storms.csv""]"
"dragracer-rpdr_contep","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/dragracer/rpdr_contep.csv""]"
"dragracer-rpdr_contestants","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/dragracer/rpdr_contestants.csv""]"
"dragracer-rpdr_ep","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/dragracer/rpdr_ep.csv""]"
"drc-acidiq","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/acidiq.csv""]"
"drc-algae","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/algae.csv""]"
"drc-auxins","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/auxins.csv""]"
"drc-chickweed","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/chickweed.csv""]"
"drc-chickweed0","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/chickweed0.csv""]"
"drc-daphnids","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/daphnids.csv""]"
"drc-decontaminants","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/decontaminants.csv""]"
"drc-deguelin","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/deguelin.csv""]"
"drc-earthworms","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/earthworms.csv""]"
"drc-etmotc","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/etmotc.csv""]"
"drc-finney71","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/finney71.csv""]"
"drc-G.aparine","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/G.aparine.csv""]"
"drc-germination","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/germination.csv""]"
"drc-glymet","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/glymet.csv""]"
"drc-H.virescens","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/H.virescens.csv""]"
"drc-heartrate","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/heartrate.csv""]"
"drc-leaflength","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/leaflength.csv""]"
"drc-lepidium","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/lepidium.csv""]"
"drc-lettuce","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/lettuce.csv""]"
"drc-M.bahia","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/M.bahia.csv""]"
"drc-mecter","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/mecter.csv""]"
"drc-metals","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/metals.csv""]"
"drc-methionine","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/methionine.csv""]"
"drc-nasturtium","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/nasturtium.csv""]"
"drc-O.mykiss","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/O.mykiss.csv""]"
"drc-P.promelas","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/P.promelas.csv""]"
"drc-RScompetition","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/RScompetition.csv""]"
"drc-ryegrass","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/ryegrass.csv""]"
"drc-S.alba","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/S.alba.csv""]"
"drc-S.capricornutum","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/S.capricornutum.csv""]"
"drc-secalonic","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/secalonic.csv""]"
"drc-selenium","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/selenium.csv""]"
"drc-spinach","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/spinach.csv""]"
"drc-terbuthylazin","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/terbuthylazin.csv""]"
"drc-vinclozolin","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/drc/vinclozolin.csv""]"
"Ecdat-Accident","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Accident.csv""]"
"Ecdat-AccountantsAuditorsPct","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/AccountantsAuditorsPct.csv""]"
"Ecdat-Airline","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Airline.csv""]"
"Ecdat-Airq","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Airq.csv""]"
"Ecdat-bankingCrises","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/bankingCrises.csv""]"
"Ecdat-Benefits","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Benefits.csv""]"
"Ecdat-Bids","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Bids.csv""]"
"Ecdat-breaches","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/breaches.csv""]"
"Ecdat-BudgetFood","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/BudgetFood.csv""]"
"Ecdat-BudgetItaly","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/BudgetItaly.csv""]"
"Ecdat-BudgetUK","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/BudgetUK.csv""]"
"Ecdat-Bwages","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Bwages.csv""]"
"Ecdat-Capm","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Capm.csv""]"
"Ecdat-Car","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Car.csv""]"
"Ecdat-Caschool","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Caschool.csv""]"
"Ecdat-Catsup","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Catsup.csv""]"
"Ecdat-Cigar","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Cigar.csv""]"
"Ecdat-Cigarette","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Cigarette.csv""]"
"Ecdat-Clothing","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Clothing.csv""]"
"Ecdat-Computers","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Computers.csv""]"
"Ecdat-Consumption","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Consumption.csv""]"
"Ecdat-coolingFromNuclearWar","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/coolingFromNuclearWar.csv""]"
"Ecdat-CPSch3","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/CPSch3.csv""]"
"Ecdat-Cracker","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Cracker.csv""]"
"Ecdat-CRANpackages","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/CRANpackages.csv""]"
"Ecdat-Crime","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Crime.csv""]"
"Ecdat-CRSPday","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/CRSPday.csv""]"
"Ecdat-CRSPmon","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/CRSPmon.csv""]"
"Ecdat-Diamond","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Diamond.csv""]"
"Ecdat-DM","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/DM.csv""]"
"Ecdat-Doctor","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Doctor.csv""]"
"Ecdat-DoctorAUS","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/DoctorAUS.csv""]"
"Ecdat-DoctorContacts","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/DoctorContacts.csv""]"
"Ecdat-Earnings","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Earnings.csv""]"
"Ecdat-Electricity","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Electricity.csv""]"
"Ecdat-Fair","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Fair.csv""]"
"Ecdat-Fatality","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Fatality.csv""]"
"Ecdat-Fishing","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Fishing.csv""]"
"Ecdat-Forward","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Forward.csv""]"
"Ecdat-FriendFoe","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/FriendFoe.csv""]"
"Ecdat-Garch","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Garch.csv""]"
"Ecdat-Gasoline","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Gasoline.csv""]"
"Ecdat-Griliches","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Griliches.csv""]"
"Ecdat-Grunfeld","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Grunfeld.csv""]"
"Ecdat-HC","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/HC.csv""]"
"Ecdat-Hdma","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Hdma.csv""]"
"Ecdat-Heating","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Heating.csv""]"
"Ecdat-Hedonic","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Hedonic.csv""]"
"Ecdat-HHSCyberSecurityBreaches","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/HHSCyberSecurityBreaches.csv""]"
"Ecdat-HI","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/HI.csv""]"
"Ecdat-Hmda","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Hmda.csv""]"
"Ecdat-Housing","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Housing.csv""]"
"Ecdat-Hstarts","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Hstarts.csv""]"
"Ecdat-Icecream","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Icecream.csv""]"
"Ecdat-incidents.byCountryYr","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/incidents.byCountryYr.csv""]"
"Ecdat-incomeInequality","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/incomeInequality.csv""]"
"Ecdat-IncomeUK","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/IncomeUK.csv""]"
"Ecdat-Irates","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Irates.csv""]"
"Ecdat-Journals","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Journals.csv""]"
"Ecdat-Kakadu","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Kakadu.csv""]"
"Ecdat-Ketchup","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Ketchup.csv""]"
"Ecdat-Klein","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Klein.csv""]"
"Ecdat-LaborSupply","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/LaborSupply.csv""]"
"Ecdat-Labour","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Labour.csv""]"
"Ecdat-Longley","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Longley.csv""]"
"Ecdat-LT","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/LT.csv""]"
"Ecdat-Macrodat","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Macrodat.csv""]"
"Ecdat-Males","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Males.csv""]"
"Ecdat-ManufCost","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/ManufCost.csv""]"
"Ecdat-Mathlevel","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Mathlevel.csv""]"
"Ecdat-MCAS","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/MCAS.csv""]"
"Ecdat-MedExp","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/MedExp.csv""]"
"Ecdat-Metal","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Metal.csv""]"
"Ecdat-Mishkin","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Mishkin.csv""]"
"Ecdat-Mode","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Mode.csv""]"
"Ecdat-ModeChoice","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/ModeChoice.csv""]"
"Ecdat-Mofa","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Mofa.csv""]"
"Ecdat-Money","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Money.csv""]"
"Ecdat-MoneyUS","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/MoneyUS.csv""]"
"Ecdat-Mpyr","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Mpyr.csv""]"
"Ecdat-Mroz","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Mroz.csv""]"
"Ecdat-MunExp","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/MunExp.csv""]"
"Ecdat-MW","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/MW.csv""]"
"Ecdat-NaturalPark","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/NaturalPark.csv""]"
"Ecdat-Nerlove","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Nerlove.csv""]"
"Ecdat-nkill.byCountryYr","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/nkill.byCountryYr.csv""]"
"Ecdat-nonEnglishNames","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/nonEnglishNames.csv""]"
"Ecdat-nuclearWeaponStates","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/nuclearWeaponStates.csv""]"
"Ecdat-OCC1950","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/OCC1950.csv""]"
"Ecdat-OFP","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/OFP.csv""]"
"Ecdat-Oil","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Oil.csv""]"
"Ecdat-Orange","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Orange.csv""]"
"Ecdat-Participation","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Participation.csv""]"
"Ecdat-PatentsHGH","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/PatentsHGH.csv""]"
"Ecdat-PatentsRD","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/PatentsRD.csv""]"
"Ecdat-PE","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/PE.csv""]"
"Ecdat-politicalKnowledge","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/politicalKnowledge.csv""]"
"Ecdat-Pound","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Pound.csv""]"
"Ecdat-PPP","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/PPP.csv""]"
"Ecdat-Pricing","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Pricing.csv""]"
"Ecdat-Produc","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Produc.csv""]"
"Ecdat-PSID","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/PSID.csv""]"
"Ecdat-RetSchool","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/RetSchool.csv""]"
"Ecdat-Schooling","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Schooling.csv""]"
"Ecdat-Solow","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Solow.csv""]"
"Ecdat-Somerville","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Somerville.csv""]"
"Ecdat-SP500","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/SP500.csv""]"
"Ecdat-Star","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Star.csv""]"
"Ecdat-Strike","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Strike.csv""]"
"Ecdat-StrikeDur","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/StrikeDur.csv""]"
"Ecdat-StrikeNb","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/StrikeNb.csv""]"
"Ecdat-SumHes","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/SumHes.csv""]"
"Ecdat-Tbrate","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Tbrate.csv""]"
"Ecdat-terrorism","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/terrorism.csv""]"
"Ecdat-Tobacco","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Tobacco.csv""]"
"Ecdat-Train","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Train.csv""]"
"Ecdat-TranspEq","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/TranspEq.csv""]"
"Ecdat-Treatment","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Treatment.csv""]"
"Ecdat-Tuna","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Tuna.csv""]"
"Ecdat-UnempDur","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/UnempDur.csv""]"
"Ecdat-Unemployment","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Unemployment.csv""]"
"Ecdat-University","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/University.csv""]"
"Ecdat-USclassifiedDocuments","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/USclassifiedDocuments.csv""]"
"Ecdat-USFinanceIndustry","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/USFinanceIndustry.csv""]"
"Ecdat-USGDPpresidents","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/USGDPpresidents.csv""]"
"Ecdat-USstateAbbreviations","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/USstateAbbreviations.csv""]"
"Ecdat-UStaxWords","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/UStaxWords.csv""]"
"Ecdat-VietNamH","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/VietNamH.csv""]"
"Ecdat-VietNamI","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/VietNamI.csv""]"
"Ecdat-Wages","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Wages.csv""]"
"Ecdat-Wages1","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Wages1.csv""]"
"Ecdat-Workinghours","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Workinghours.csv""]"
"Ecdat-Yen","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Yen.csv""]"
"Ecdat-Yogurt","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/Ecdat/Yogurt.csv""]"
"evir-bmw","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/evir/bmw.csv""]"
"evir-danish","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/evir/danish.csv""]"
"evir-nidd.annual","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/evir/nidd.annual.csv""]"
"evir-nidd.thresh","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/evir/nidd.thresh.csv""]"
"evir-siemens","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/evir/siemens.csv""]"
"evir-sp.raw","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/evir/sp.raw.csv""]"
"evir-spto87","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/evir/spto87.csv""]"
"forecast-gas","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/forecast/gas.csv""]"
"forecast-gold","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/forecast/gold.csv""]"
"forecast-taylor","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/forecast/taylor.csv""]"
"forecast-wineind","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/forecast/wineind.csv""]"
"forecast-woolyrnq","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/forecast/woolyrnq.csv""]"
"fpp2-a10","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/fpp2/a10.csv""]"
"fpp2-arrivals","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/fpp2/arrivals.csv""]"
"fpp2-ausair","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/fpp2/ausair.csv""]"
"fpp2-ausbeer","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/fpp2/ausbeer.csv""]"
"fpp2-auscafe","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/fpp2/auscafe.csv""]"
"fpp2-austa","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/fpp2/austa.csv""]"
"fpp2-austourists","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/fpp2/austourists.csv""]"
"fpp2-calls","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/fpp2/calls.csv""]"
"fpp2-debitcards","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/fpp2/debitcards.csv""]"
"fpp2-departures","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/fpp2/departures.csv""]"
"fpp2-elecdaily","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/fpp2/elecdaily.csv""]"
"fpp2-elecdemand","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/fpp2/elecdemand.csv""]"
"fpp2-elecequip","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/fpp2/elecequip.csv""]"
"fpp2-elecsales","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/fpp2/elecsales.csv""]"
"fpp2-euretail","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/fpp2/euretail.csv""]"
"fpp2-gasoline","Import[""https://vincentarelbundock.github.io/Rdatasets/csv/fpp2/gasoline.csv""]"
